georgian,english
მე ვმღერი.,I sing.
მე წიგნს ვწერ.,I'm writing a book.
მე ვერ შეასრულა ტომ.,I couldn't stop Tom.
ისინი დებია.,They are sisters.
ზღვა ლურჯია.,The sea is blue.
მე ძალიან მორცხვი ვარ.,I'm very shy.
სადაა საჭმელი?,Where is the food?
სად არის საჭმელი?,Where is the food?
მე არ მიყვარს ექიმები.,I don't like doctors.
სადღაც მინახავხარ.,I've seen you somewhere before.
კატა მყავს.,I have a cat.
ტომიც აქაა.,"Tom is here, too."
საშაქრე ცარიელია.,The sugar canister is empty.
ორი კატა მყავს.,I have two cats.
მე ქარხანაში ვმუშაობ.,I work in a factory.
სახლი პატარაა.,The house is small.
მე მუშაობა არ მინდა ასეთ პირობებში.,I don't want to work under these conditions.
გერმანიაში წასვლა მინდა.,I want to go to Germany.
სად არის სასტუმრო?,Where is the hotel?
წიგნი გაქვს?,Do you have the book?
სხვა სამყარო შესაძლებელია.,Another world is possible.
ზღვა მწვანეა.,The sea is green.
ბიჭი მაგარია.,The boy is strong.
გოგო ლამაზია.,The girl is beautiful.
ღორი ვარდისფერია.,The pig is pink.
ეს მაგიდაა.,This is a table.
ეს სკამია.,This is a chair.
ეს ჩანთაა.,This is a bag.
წიგნი მაქვს.,I have a book.
ოთახი მზიანია.,The room is sunny.
გოგომ ქოლგა გაშალა.,The girl opened her umbrella.
ეს არის გოგო.,This is a girl.
